"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","state","test_part","correct_response","order_block","order_chunk","correct","responses","question_order","bonus"
"null","","html-keyboard-response","1170","636284","0.0-1170.0","","","null","","","","","","","","",""
"496.30000000447035","","image-keyboard-response","1171","636781","0.0-1171.0","","img/set4/S4.jpg","74","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1172","637138","0.0-1172.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1173","637353","0.0-1173.0","","","null","","","","","","","","",""
"500.5","","image-keyboard-response","1174","637854","0.0-1174.0","","img/set4/S1.jpg","83","1","structured_load","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1175","638212","0.0-1175.0","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1176","638416","0.0-1176.0","","","null","","","","","","","","",""
"628.3999999985099","","image-keyboard-response","1177","639045","0.0-1177.0","","img/set4/S4.jpg","72","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","1178","639409","0.0-1178.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","1179","639612","0.0-1179.0","","","null","","","","","","","","",""
"545.5","","image-keyboard-response","1180","640158","0.0-1180.0","","img/set4/S1.jpg","83","1","structured_load","83","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1181","640517","0.0-1181.0","","<img src=""img/set4/S1.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1182","640719","0.0-1182.0","","","null","","","","","","","","",""
"547.8999999985099","","image-keyboard-response","1183","641267","0.0-1183.0","","img/set4/S4.jpg","74","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1184","641621","0.0-1184.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1185","641827","0.0-1185.0","","","null","","","","","","","","",""
"965.6999999955297","","image-keyboard-response","1186","642794","0.0-1186.0","","img/set4/S2.jpg","72","2","structured_load","68","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","false","","",""
"null","","html-keyboard-response","1187","643158","0.0-1187.0","","<img src=""img/set4/S2.jpg"" width=""540"" height = ""360"">","null","","","","","","","","",""
"null","","html-keyboard-response","1188","643362","0.0-1188.0","","","null","","","","","","","","",""
"626","","image-keyboard-response","1189","643989","0.0-1189.0","","img/set4/S3.jpg","72","3","structured_load","72","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1190","644351","0.0-1190.0","","<img src=""img/set4/S3.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1191","644557","0.0-1191.0","","","null","","","","","","","","",""
"650.8999999985099","","image-keyboard-response","1192","645208","0.0-1192.0","","img/set4/S4.jpg","74","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1193","645566","0.0-1193.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1194","645783","0.0-1194.0","","","null","","","","","","","","",""
"482.30000000447035","","image-keyboard-response","1195","646266","0.0-1195.0","","img/set4/S4.jpg","74","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1196","646633","0.0-1196.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
"null","","html-keyboard-response","1197","646837","0.0-1197.0","","","null","","","","","","","","",""
"416.79999999701977","","image-keyboard-response","1198","647255","0.0-1198.0","","img/set4/S4.jpg","74","4","structured_load","74","random,structured_normal,structured_incentive,structured_load","3,4,2,1,2,3","true","","",""
"null","","html-keyboard-response","1199","647621","0.0-1199.0","","<img src=""img/set4/S4.jpg"" width=""540"" height = ""360"" style=""border:16px solid orange"">","null","","","","","","","","",""
